image_id;variant_id;product_id;sort_order;path
KD-PD-7227__v001__img2;KD-PD-7227__v001;KD-PD-7227;2;/assets/images/6a0abbf175562_big.jpg
KD-PD-7227__v002__img1;KD-PD-7227__v002;KD-PD-7227;1;/assets/images/6a0abbf14fafb_big.jpg
KD-PD-7227__v002__img2;KD-PD-7227__v002;KD-PD-7227;2;/assets/images/6a0abbf175562_big.jpg
KD-PD-7227__v003__img1;KD-PD-7227__v003;KD-PD-7227;1;/assets/images/6a0abbf14fafb_big.jpg
KD-PD-7227__v003__img2;KD-PD-7227__v003;KD-PD-7227;2;/assets/images/6a0abbf175562_big.jpg
KD-PD-9976__v001__img1;KD-PD-9976__v001;KD-PD-9976;1;/assets/images/69df5f57970e0_big.jpg
KD-PD-9976__v001__img2;KD-PD-9976__v001;KD-PD-9976;2;/assets/images/69b95afad6980_big.jpg
KD-PD-8242__v001__img1;KD-PD-8242__v001;KD-PD-8242;1;/assets/images/6a57511b9cbbf_big.jpg
KD-PD-8243__v001__img1;KD-PD-8243__v001;KD-PD-8243;1;/assets/images/6a3d1d63d385c_big.jpg
KD-PD-11521__v001__img1;KD-PD-11521__v001;KD-PD-11521;1;/assets/images/69b16002123a4_big.png
KD-PD-11521__v002__img1;KD-PD-11521__v002;KD-PD-11521;1;/assets/images/69b16002123a4_big.png
KD-PD-11521__v003__img1;KD-PD-11521__v003;KD-PD-11521;1;/assets/images/69b16002123a4_big.png
KD-PD-11419__v001__img1;KD-PD-11419__v001;KD-PD-11419;1;/assets/images/6a3a77ab1a012_big.jpg
KD-PD-11431__v001__img1;KD-PD-11431__v001;KD-PD-11431;1;/assets/images/6a394affdcfc4_big.jpg
KD-PD-11431__v001__img2;KD-PD-11431__v001;KD-PD-11431;2;/assets/images/6993065ce7e66_big.jpg
KD-PD-11429__v001__img1;KD-PD-11429__v001;KD-PD-11429;1;/assets/images/KD-PD-11429.jpg
KD-PD-11421__v001__img1;KD-PD-11421__v001;KD-PD-11421;1;/assets/images/6a3a861013057_big.jpg
KD-PD-11418__v001__img1;KD-PD-11418__v001;KD-PD-11418;1;/assets/images/69cfcf5d94387_big.jpg
KD-PD-11418__v001__img2;KD-PD-11418__v001;KD-PD-11418;2;/assets/images/69958b5f30941_big.jpg
KD-PD-11436__v001__img1;KD-PD-11436__v001;KD-PD-11436;1;/assets/images/KD-PD-11436.jpg
KD-PD-11518__v001__img1;KD-PD-11518__v001;KD-PD-11518;1;/assets/images/6a85bf55372ef_big.jpg
KD-PD-11441__v001__img1;KD-PD-11441__v001;KD-PD-11441;1;/assets/images/KD-PD-11441.jpg
KD-PD-11449__v001__img1;KD-PD-11449__v001;KD-PD-11449;1;/assets/images/KD-PD-11449.jpg
KD-PD-11440__v001__img1;KD-PD-11440__v001;KD-PD-11440;1;/assets/images/KD-PD-11440.jpg
KD-PD-9415__v001__img1;KD-PD-9415__v001;KD-PD-9415;1;/assets/images/KD-PD-9415.png
KD-PD-9418__v001__img1;KD-PD-9418__v001;KD-PD-9418;1;/assets/images/KD-PD-9418.png
KD-PD-8984__v001__img1;KD-PD-8984__v001;KD-PD-8984;1;/assets/images/KD-PD-8984.png
KD-PD-9975__v001__img1;KD-PD-9975__v001;KD-PD-9975;1;/assets/images/69df5f56592b1_big.jpg
