Id,Артикул,Название товара,Цвет,Аромат,Размер,Цена,Старая цена,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Капсула,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение,Описание готового решения,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Offer ID
655,KD-PD-10786,Подушка декоративная Пушица,голубой,,45х45 см,9900,,45 см,45 см,,,,,,,Оренбургские узоры,,Пледы и подушки,Декоративные подушки,Красные линии Пламя морских глубин,Зимняя сказка Теплый брутализм,,/images/imported-products/6a5f322580c1f_big.jpg,,,1295
658,KD-PD-7947,Блюдо Петербург,белый,,"36,5х25х2 см",5995,11990,,,,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,Блюда и подача,Зеленый салон,,,/images/imported-products/687e4847be118_big.jpg,,,16
659,KD-PD-8312,Дорожка Петербург,белый,,165х45 см,2500,5000,165 см,45 см,,,,сатин,100% сатин,,Петербург,,Столовый текстиль,Столовый текстиль,Зеленый салон,,,/images/imported-products/6a8317467f780_big.jpg,,,529
660,KD-PD-7941,Кружка Петербург,белый,,,4995,9990,,,450 мл,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зеленый салон,,,/images/imported-products/68ee0faf95812_big.png,/images/imported-products/6a394b4a57a59_big.jpg,/images/imported-products/6a394b4fb19ed_big.jpg,240
661,KD-PD-7942,Салатник Петербург,белый,,,2995,5990,,,,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Зеленый салон,,,/images/imported-products/6a3a860480fbd_big.jpg,,,296
661,KD-PD-7942,Салатник Петербург,белый,,,5995,11990,,,,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Зеленый салон,,,/images/imported-products/6a3a860480fbd_big.jpg,,,297
662,KD-PD-7242,Салфетки Петербург,белый,,45х45 см,650,1300,45 см,45 см,,,,сатин,100% сатин,,Петербург,,Столовый текстиль,Столовый текстиль,Зеленый салон,,,/images/imported-products/6a831e350cf34_big.jpg,,,572
663,KD-PD-7938,Сахарница Петербург,белый,,,7950,15900,,,400 мл,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон,,,/images/imported-products/6a394b88d86f5_big.jpg,/images/imported-products/6a394b886643a_big.jpg,/images/imported-products/6a394b89200e7_big.jpg,303
664,KD-PD-8256,Скатерть Петербург,белый,,180х250 см,7250,14500,180 см,250 см,,,,сатин,100% сатин,,Петербург,,Столовый текстиль,Столовый текстиль,Зеленый салон,,,/images/imported-products/6a847053607fe_big.jpg,,,599
665,KD-PD-7939,Сливочник Петербург,белый,,300 мл,6450,12900,,,300 мл,,,костяной фарфор,100% костяной фарфор,,Петербург,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон,,,/images/imported-products/6a632cffe8804_big.jpg,/images/imported-products/6a632cff1c511_big.jpg,/images/imported-products/6a632d0037bdb_big.jpg,269
