offer_id,group_id,vendor_code,collection,product_name,product_url,product_type,constructor_role,mix_role,builder_domain,palette,style_tags,price,old_price,color,size,material,volume,availability_status,primary_image_url,all_image_urls
302,,УТ-00007697,,Сахарница Летний сад,https://kultura-doma.ru/product/saharnica-letniy-sad,sugar_bowl,serving_add_on,,,,,50050,71500,белый,,фарфор,520 мл,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b30b922a_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b30b922a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b303482a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b31004ce_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3179cdc_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b2fe3ebe_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b30749af_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b2cca0c2_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b2f71d19_big.jpg
336,,УТ-00007045,,Чайник Летний сад,https://kultura-doma.ru/product/chaynik-letniy-sad,teapot,serving_add_on,,,,,86800,124000,белый,,костяной фарфор,970 мл,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3836bcc_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3836bcc_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b363d33c_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b38b64ce_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3874c01_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b38f23de_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b37e8179_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b37a84f3_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b34c7589_big.jpg
339,,УТ-00007698,,Чайная пара Летний сад,https://kultura-doma.ru/product/chaynaya-para-letniy-sad,tea_pair,tea_or_coffee_service,,,,,36610,52300,белый,,фарфор,350 мл,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3f48760_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3f48760_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3c68fed_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3f067d1_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3f88b5a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b4016279_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3be83b9_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3dceb31_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b3cd64e7_big.jpg
707,707,УТ-00009475,,Полотенце Ода,https://kultura-doma.ru/product/polotence-oda-707,other,other,,,,,1990,,белый,50х90 см,махровая ткань,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c0dc1a8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c0dc1a8_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c13b078_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c183201_big.jpg
707-773,707,УТ-00009478,,Полотенце Ода: 70х140 см,https://kultura-doma.ru/product/polotence-oda-707-size-70h140-sm,other,other,,,,,3700,,белый,70х140 см,махровая ткань,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c0dc1a8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c0dc1a8_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c13b078_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f84c183201_big.jpg
1613,1613,УТ-00011110,,Брошь Ель,https://kultura-doma.ru/product/brosh-el,other,other,,,,,2490,,зеленый,4х4 см,"латунь, эмаль",,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a47c57891ed2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a47c57891ed2_big.jpg
1833,1833,УТ-00011725,,Простыня свободная Классика,https://kultura-doma.ru/product/prostynya-svobodnaya-klassika-1833,other,other,,,,,6990,,розовый,240х270 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a55eafe78654_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a55eafe78654_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a55eafeb2ea4_big.jpg
1835,1835,УТ-00011951,,Набор наволочек Классика,https://kultura-doma.ru/product/nabor-navolochek-klassika-1835,pillowcase_set,bedroom_layer,,,,,4990,,розовый,50х70 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5743cb836cf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5743cb836cf_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a5743cbc7f26_big.jpg
1835-2267,1835,УТ-00011952,,Набор наволочек Классика: 70х70 см,https://kultura-doma.ru/product/nabor-navolochek-klassika-1835-size-70h70-sm,pillowcase_set,bedroom_layer,,,,,5490,,розовый,70х70 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5743cb836cf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5743cb836cf_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a5743cbc7f26_big.jpg
1837,1837,УТ-00011733,,Простыня свободная Классика,https://kultura-doma.ru/product/prostynya-svobodnaya-klassika-1837,other,other,,,,,6990,,розовый,240х270 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a39019b5da2d_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a39019b5da2d_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a39019aea705_big.jpg
1844,1844,УТ-00012114,,Пододеяльник Классика,https://kultura-doma.ru/product/pododeyal-nik-klassika-1844,other,other,,,,,9900,,белый,145х200 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a10a02_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a4c736_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a8c6f1_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644acca9a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b131c5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b4d005_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b8b689_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644bc5193_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c121e3_big.jpg
1844-2284,1844,УТ-00012114,,Пододеяльник Классика,https://kultura-doma.ru/product/pododeyal-nik-klassika-1844-size-145h200,other,other,,,,,9900,,белый,,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a10a02_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a4c736_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a8c6f1_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644acca9a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b131c5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b4d005_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b8b689_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644bc5193_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c121e3_big.jpg
1844-2367,1844,УТ-00010962,,Пододеяльник Классика: 160х220 см,https://kultura-doma.ru/product/pododeyal-nik-klassika-1844-size-160h220-sm,other,other,,,,,9990,,белый,160х220 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a10a02_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a4c736_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a8c6f1_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644acca9a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b131c5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b4d005_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b8b689_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644bc5193_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c121e3_big.jpg
1844-2368,1844,УТ-00012113,,Пододеяльник Классика: 200х210 см,https://kultura-doma.ru/product/pododeyal-nik-klassika-1844-size-200h210-sm,other,other,,,,,11900,,белый,200х210 см,сатин,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c58896_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a10a02_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a4c736_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644a8c6f1_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644acca9a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b131c5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b4d005_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644b8b689_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644bc5193_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a29644c121e3_big.jpg
