variant_id;product_id;characteristic_code;value;normalized_value;numeric_value
KD-PD-1028__v007;KD-PD-1028;color;Пудровый;пудровый;
KD-PD-1028__v008;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v008;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v008;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v008;KD-PD-1028;size;Евро 200×220 см;евро 200×220 см;
KD-PD-1028__v008;KD-PD-1028;price;5990;5990;5990
KD-PD-1028__v008;KD-PD-1028;height;200 см;200 см;
KD-PD-1028__v008;KD-PD-1028;width;220 см;220 см;
KD-PD-1028__v008;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v008;KD-PD-1028;color;Пудровый;пудровый;
KD-PD-1028__v009;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v009;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v009;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v009;KD-PD-1028;size;Кинг сайз 220×240 см;кинг сайз 220×240 см;
KD-PD-1028__v009;KD-PD-1028;price;6990;6990;6990
KD-PD-1028__v009;KD-PD-1028;height;220 см;220 см;
KD-PD-1028__v009;KD-PD-1028;width;240 см;240 см;
KD-PD-1028__v009;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v009;KD-PD-1028;color;Пудровый;пудровый;
KD-PD-1128__v001;KD-PD-1128;category;Постельное белье;постельное белье;
KD-PD-1128__v001;KD-PD-1128;subcategory;Постельное белье;постельное белье;
KD-PD-1128__v001;KD-PD-1128;material;Шелк;шелк;
KD-PD-1128__v001;KD-PD-1128;size;60×60 см;60×60 см;
KD-PD-1128__v001;KD-PD-1128;price;4990;4990;4990
KD-PD-1128__v001;KD-PD-1128;height;60 см;60 см;
KD-PD-1128__v001;KD-PD-1128;width;60 см;60 см;
KD-PD-1128__v001;KD-PD-1128;composition;100% Сатин;100% сатин;
KD-PD-1128__v001;KD-PD-1128;color;Белый;белый;
KD-PD-1128__v002;KD-PD-1128;category;Постельное белье;постельное белье;
KD-PD-1128__v002;KD-PD-1128;subcategory;Постельное белье;постельное белье;
KD-PD-1128__v002;KD-PD-1128;material;Шелк;шелк;
KD-PD-1128__v002;KD-PD-1128;size;60×60 см;60×60 см;
KD-PD-1128__v002;KD-PD-1128;price;4990;4990;4990
KD-PD-1128__v002;KD-PD-1128;height;60 см;60 см;
KD-PD-1128__v002;KD-PD-1128;width;60 см;60 см;
KD-PD-1128__v002;KD-PD-1128;composition;100% Сатин;100% сатин;
KD-PD-1128__v002;KD-PD-1128;color;Ночной синий;ночной синий;
KD-PD-1128__v003;KD-PD-1128;category;Постельное белье;постельное белье;
KD-PD-1128__v003;KD-PD-1128;subcategory;Постельное белье;постельное белье;
KD-PD-1128__v003;KD-PD-1128;material;Шелк;шелк;
KD-PD-1128__v003;KD-PD-1128;size;60×60 см;60×60 см;
KD-PD-1128__v003;KD-PD-1128;price;4990;4990;4990
KD-PD-1128__v003;KD-PD-1128;height;60 см;60 см;
KD-PD-1128__v003;KD-PD-1128;width;60 см;60 см;
KD-PD-1128__v003;KD-PD-1128;composition;100% Сатин;100% сатин;
KD-PD-1128__v003;KD-PD-1128;color;Пудровый;пудровый;
KD-PD-2519__v001;KD-PD-2519;category;Декор для дома;декор для дома;
KD-PD-2519__v001;KD-PD-2519;subcategory;Свечи и диффузоры;свечи и диффузоры;
KD-PD-2519__v001;KD-PD-2519;collection;Феникс;феникс;
KD-PD-2519__v001;KD-PD-2519;capsule;Феникс;феникс;
KD-PD-2519__v001;KD-PD-2519;size;10 см;10 см;
KD-PD-2519__v001;KD-PD-2519;aroma;Дерево жизни;дерево жизни;
KD-PD-2519__v001;KD-PD-2519;price;4990;4990;4990
KD-PD-2519__v001;KD-PD-2519;height;10 см;10 см;
KD-PD-2519__v001;KD-PD-2519;composition;Воск;воск;
KD-PD-2519__v001;KD-PD-2519;color;Белый;белый;
KD-PD-2519__v001;KD-PD-2519;color;Золотой;золотой;
KD-PD-2519__v002;KD-PD-2519;category;Декор для дома;декор для дома;
KD-PD-2519__v002;KD-PD-2519;subcategory;Свечи и диффузоры;свечи и диффузоры;
KD-PD-2519__v002;KD-PD-2519;collection;Феникс;феникс;
KD-PD-2519__v002;KD-PD-2519;capsule;Феникс;феникс;
KD-PD-2519__v002;KD-PD-2519;size;10 см;10 см;
